Name ,Sex,Age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
WC - Cape Winelands District Municipality (DC2),Male,60-64,7837,8085,8370,8669,8974,9263,9551,9855,10174,10500,10845,11198,11567,11949,12340
WC - Cape Winelands District Municipality (DC2),Male,65-69,5504,5540,5592,5692,5852,6065,6300,6541,6778,7019,7294,7588,7901,8227,8552
WC - Cape Winelands District Municipality (DC2),Male,70-74,3216,3364,3488,3573,3625,3679,3728,3799,3904,4040,4202,4378,4572,4788,4987
WC - Cape Winelands District Municipality (DC2),Male,75-79,1493,1487,1516,1584,1691,1791,1880,1950,1994,2011,2056,2107,2165,2232,2283
WC - Cape Winelands District Municipality (DC2),Male,80+,813,814,818,825,833,813,794,774,754,735,778,822,869,918,955
WC - Cape Winelands District Municipality (DC2),Female,0-4,34896,34801,34536,34189,33848,33560,33768,34461,35564,36855,38052,39147,39883,40402,41447
WC - Cape Winelands District Municipality (DC2),Female,5-9,33436,33992,34638,35239,35611,35810,35690,35290,34845,34705,34932,35397,36180,37191,37681
WC - Cape Winelands District Municipality (DC2),Female,10-14,32050,32517,33050,33629,34168,34834,35457,36081,36528,36614,36595,36316,35938,35730,35573
WC - Cape Winelands District Municipality (DC2),Female,15-19,31694,32448,32990,33509,33530,34167,34793,35259,35582,35838,36611,37431,38094,38389,38977
WC - Cape Winelands District Municipality (DC2),Female,20-24,30461,31365,32366,33266,34536,35316,35876,36447,37253,37638,37849,38184,38676,39351,39785
WC - Cape Winelands District Municipality (DC2),Female,25-29,28210,28842,29685,30635,31671,32789,33933,34951,35674,36842,37809,38555,39215,39986,40909
WC - Cape Winelands District Municipality (DC2),Female,30-34,29174,29026,28678,28449,28588,29072,29848,30833,31895,32949,34076,35237,36322,37133,38280
WC - Cape Winelands District Municipality (DC2),Female,35-39,24840,26057,27289,28252,28882,29126,29071,28905,28872,29117,29517,30255,31332,32547,33338
WC - Cape Winelands District Municipality (DC2),Female,40-44,21579,21863,22178,22683,23483,24441,25659,26924,27939,28578,28782,28705,28572,28597,28732
WC - Cape Winelands District Municipality (DC2),Female,45-49,17905,18589,19292,19948,20565,20986,21316,21681,22221,22990,23895,25036,26252,27243,28377
WC - Cape Winelands District Municipality (DC2),Female,50-54,14173,14559,15017,15553,16198,16861,17598,18353,19048,19644,20076,20409,20788,21343,21834
WC - Cape Winelands District Municipality (DC2),Female,55-59,11639,11819,12003,12248,12591,12977,13406,13885,14420,15019,15691,16427,17176,17868,18651
WC - Cape Winelands District Municipality (DC2),Female,60-64,8400,8800,9219,9599,9919,10207,10445,10672,10932,11250,11628,12056,12544,13098,13580
WC - Cape Winelands District Municipality (DC2),Female,65-69,5958,6101,6256,6460,6723,7048,7421,7800,8140,8429,8678,8896,9127,9407,9683
WC - Cape Winelands District Municipality (DC2),Female,70-74,3842,4026,4210,4371,4507,4611,4706,4837,5028,5278,5575,5902,6213,6483,6821
WC - Cape Winelands District Municipality (DC2),Female,75-79,2566,2480,2449,2485,2592,2756,2902,3008,3066,3079,3088,3124,3219,3392,3462
WC - Cape Winelands District Municipality (DC2),Female,80+,2179,2211,2248,2288,2331,2286,2243,2202,2165,2131,2101,2075,2053,2037,2012
WC - Overberg District Municipality (DC3),Male,0-4,10989,11111,11194,11262,11337,11387,11490,11660,11897,12165,12438,12730,12959,13156,13423
WC - Overberg District Municipality (DC3),Male,5-9,10092,10379,10665,10925,11113,11293,11410,11462,11492,11571,11722,11879,12071,12285,12451
WC - Overberg District Municipality (DC3),Male,10-14,9284,9540,9811,10094,10365,10636,10900,11165,11400,11552,11645,11692,11746,11848,11939
WC - Overberg District Municipality (DC3),Male,15-19,7905,8446,8964,9475,9643,9992,10292,10523,10694,10843,11141,11441,11691,11849,12095
WC - Overberg District Municipality (DC3),Male,20-24,7831,7957,8119,8273,8766,9278,9800,10343,10931,11158,11387,11594,11786,11971,12191
WC - Overberg District Municipality (DC3),Male,25-29,8933,8919,8937,9007,9124,9204,9338,9517,9698,10294,10778,11288,11867,12532,13191
WC - Overberg District Municipality (DC3),Male,30-34,9234,9375,9464,9519,9581,9654,9718,9773,9838,9938,10069,10231,10395,10528,10671
WC - Overberg District Municipality (DC3),Male,35-39,8231,8550,8853,9117,9353,9540,9703,9844,9961,10057,10112,10157,10217,10304,10374
WC - Overberg District Municipality (DC3),Male,40-44,6887,7132,7387,7663,7976,8290,8629,8966,9267,9520,9705,9856,9990,10108,10285
WC - Overberg District Municipality (DC3),Male,45-49,5575,5801,6043,6291,6557,6817,7085,7365,7658,7965,8277,8600,8916,9196,9539
WC - Overberg District Municipality (DC3),Male,50-54,4712,4802,4906,5040,5218,5414,5642,5898,6166,6435,6691,6943,7208,7491,7788
WC - Overberg District Municipality (DC3),Male,55-59,4072,4150,4232,4317,4408,4509,4610,4716,4840,4994,5204,5437,5684,5931,6177
WC - Overberg District Municipality (DC3),Male,60-64,3493,3556,3619,3684,3755,3819,3891,3972,4057,4143,4236,4334,4447,4585,4699
WC - Overberg District Municipality (DC3),Male,65-69,2709,2786,2866,2953,3043,3103,3157,3212,3272,3338,3398,3469,3552,3645,3724
WC - Overberg District Municipality (DC3),Male,70-74,1620,1744,1865,1976,2079,2161,2245,2328,2404,2474,2531,2586,2644,2708,2773
WC - Overberg District Municipality (DC3),Male,75-79,784,812,858,929,1030,1104,1180,1264,1359,1465,1551,1638,1723,1803,1907
WC - Overberg District Municipality (DC3),Male,80+,445,473,503,535,568,606,643,682,720,758,857,956,1057,1162,1279
WC - Overberg District Municipality (DC3),Female,0-4,10679,10781,10847,10900,10960,10972,11065,11247,11511,11818,12095,12397,12642,12864,13153
WC - Overberg District Municipality (DC3),Female,5-9,9896,10156,10437,10703,10907,11072,11169,11209,11241,11338,11488,11651,11854,12096,12274
WC - Overberg District Municipality (DC3),Female,10-14,9118,9377,9636,9895,10135,10418,10689,10955,11174,11312,11442,11519,11569,11644,11740
WC - Overberg District Municipality (DC3),Female,15-19,8554,8867,9154,9453,9604,9874,10135,10366,10576,10775,11047,11322,11579,11770,12024
WC - Overberg District Municipality (DC3),Female,20-24,8167,8428,8719,8980,9348,9689,9988,10276,10603,10793,11013,11233,11438,11646,11867
WC - Overberg District Municipality (DC3),Female,25-29,8510,8562,8644,8777,8971,9201,9489,9797,10064,10474,10816,11128,11446,11806,12189
WC - Overberg District Municipality (DC3),Female,30-34,8741,8831,8873,8904,8967,9043,9142,9274,9448,9672,9924,10226,10544,10813,11109
WC - Overberg District Municipality (DC3),Female,35-39,7536,7889,8233,8515,8741,8899,9016,9107,9190,9282,9356,9458,9615,9817,9947
WC - Overberg District Municipality (DC3),Female,40-44,6501,6654,6817,7023,7294,7585,7929,8288,8605,8852,8997,9093,9180,9271,9411
WC - Overberg District Municipality (DC3),Female,45-49,5444,5669,5903,6124,6337,6519,6684,6858,7066,7323,7617,7953,8298,8591,8934
WC - Overberg District Municipality (DC3),Female,50-54,4763,4839,4939,5069,5239,5433,5662,5909,6149,6365,6550,6707,6874,7076,7278
WC - Overberg District Municipality (DC3),Female,55-59,4529,4579,4604,4635,4694,4772,4865,4972,5101,5259,5467,5706,5956,6190,6434
WC - Overberg District Municipality (DC3),Female,60-64,3535,3754,3988,4198,4360,4464,4530,4577,4631,4705,4777,4863,4977,5123,5228
WC - Overberg District Municipality (DC3),Female,65-69,2691,2777,2870,2995,3160,3350,3577,3810,4014,4176,4286,4354,4409,4472,4570
WC - Overberg District Municipality (DC3),Female,70-74,1734,1874,2012,2136,2245,2325,2397,2495,2638,2822,3051,3298,3521,3697,3956
WC - Overberg District Municipality (DC3),Female,75-79,1124,1099,1109,1164,1267,1425,1569,1681,1757,1798,1837,1897,2006,2177,2273
WC - Overberg District Municipality (DC3),Female,80+,982,1022,1064,1106,1150,1183,1217,1253,1291,1331,1436,1543,1652,1765,1879
WC - Eden District Municipality (DC4),Male,0-4,27511,27080,26352,25428,24437,23701,23487,23778,24475,25339,26166,26815,27105,27138,27707
WC - Eden District Municipality (DC4),Male,5-9,26601,26947,27375,27748,27837,27667,27155,26316,25381,24705,24422,24430,24785,25343,25340
WC - Eden District Municipality (DC4),Male,10-14,25978,26158,26407,26722,27089,27410,27794,28173,28372,28189,27660,26929,26132,25518,24983
WC - Eden District Municipality (DC4),Male,15-19,22676,23714,24691,25751,25987,26236,26407,26544,26698,26907,27155,27536,27914,28084,28370
WC - Eden District Municipality (DC4),Male,20-24,18109,18827,19650,20332,21698,22963,24026,24959,25914,26046,26213,26327,26436,26581,26716
WC - Eden District Municipality (DC4),Male,25-29,18593,18264,18072,18100,18374,18877,19580,20343,20946,22239,23374,24359,25290,26286,27508
WC - Eden District Municipality (DC4),Male,30-34,20630,20360,19941,19502,19163,18959,18779,18668,18697,18909,19358,19997,20694,21244,21794
WC - Eden District Municipality (DC4),Male,35-39,18548,19180,19761,20157,20357,20404,20263,19989,19666,19371,19139,18954,18876,18952,18813
WC - Eden District Municipality (DC4),Male,40-44,15861,16163,16515,16949,17502,18089,18760,19413,19895,20137,20143,19982,19743,19509,19433
WC - Eden District Municipality (DC4),Male,45-49,13504,13807,14118,14444,14831,15214,15596,16002,16453,16956,17512,18141,18758,19232,19842
WC - Eden District Municipality (DC4),Male,50-54,11180,11411,11679,11973,12307,12656,13007,13364,13724,14083,14442,14793,15176,15620,16030
WC - Eden District Municipality (DC4),Male,55-59,9649,9724,9819,9950,10135,10373,10631,10903,11175,11450,11780,12119,12464,12814,13169
WC - Eden District Municipality (DC4),Male,60-64,8107,8238,8371,8498,8621,8737,8836,8939,9061,9209,9410,9646,9912,10197,10441
WC - Eden District Municipality (DC4),Male,65-69,6231,6351,6483,6641,6817,6964,7096,7220,7335,7440,7523,7610,7721,7868,7979
WC - Eden District Municipality (DC4),Male,70-74,3699,3961,4210,4428,4619,4789,4957,5120,5272,5414,5531,5657,5781,5900,6034
WC - Eden District Municipality (DC4),Male,75-79,1925,1930,1985,2104,2298,2465,2630,2804,2990,3189,3311,3446,3596,3759,3935
WC - Eden District Municipality (DC4),Male,80+,1087,1174,1267,1364,1466,1565,1663,1760,1858,1955,2145,2337,2535,2743,2965
WC - Eden District Municipality (DC4),Female,0-4,26797,26479,25789,24843,23807,23048,22829,23131,23859,24773,25581,26222,26516,26576,27157
WC - Eden District Municipality (DC4),Female,5-9,25372,25690,26219,26758,27004,26947,26517,25743,24862,24244,24003,24036,24391,24951,24973
WC - Eden District Municipality (DC4),Female,10-14,25456,25554,25607,25720,25953,26294,26749,27260,27583,27506,27127,26511,25769,25166,24710
WC - Eden District Municipality (DC4),Female,15-19,23094,23885,24671,25490,25830,26046,26100,26073,26122,26308,26548,26968,27458,27763,28104
WC - Eden District Municipality (DC4),Female,20-24,19593,20204,20960,21665,22658,23614,24446,25168,25844,26055,26257,26318,26277,26293,26384
WC - Eden District Municipality (DC4),Female,25-29,20441,20019,19689,19582,19762,20194,20832,21561,22203,23128,23980,24756,25497,26233,27124
WC - Eden District Municipality (DC4),Female,30-34,21609,21479,21215,20883,20580,20355,20106,19903,19847,19997,20423,21046,21762,22386,22932
WC - Eden District Municipality (DC4),Female,35-39,19246,19856,20401,20776,21000,21090,21058,20927,20719,20466,20213,19984,19876,19928,19774
WC - Eden District Municipality (DC4),Female,40-44,16653,16930,17268,17700,18245,18771,19363,19939,20380,20636,20642,20560,20471,20375,20375
WC - Eden District Municipality (DC4),Female,45-49,14319,14674,15037,15401,15802,16145,16474,16824,17224,17680,18177,18728,19267,19675,20206
WC - Eden District Municipality (DC4),Female,50-54,12216,12422,12676,12974,13334,13711,14107,14503,14879,15229,15540,15836,16176,16580,16942
WC - Eden District Municipality (DC4),Female,55-59,10943,11065,11162,11289,11483,11713,11966,12237,12522,12825,13171,13542,13924,14297,14681
WC - Eden District Municipality (DC4),Female,60-64,8372,8811,9277,9704,10054,10306,10480,10617,10767,10952,11151,11375,11634,11926,12173
WC - Eden District Municipality (DC4),Female,65-69,6066,6285,6525,6818,7175,7584,8042,8493,8884,9196,9436,9612,9772,9954,10183
WC - Eden District Municipality (DC4),Female,70-74,4018,4235,4466,4694,4917,5114,5301,5528,5821,6176,6599,7051,7467,7812,8285
WC - Eden District Municipality (DC4),Female,75-79,2853,2801,2801,2866,3002,3240,3459,3635,3763,3848,3948,4084,4298,4610,4802
WC - Eden District Municipality (DC4),Female,80+,2367,2480,2599,2724,2853,2921,2991,3064,3141,3222,3379,3542,3712,3892,4062
WC - Central Karoo District Municipality (DC5),Male,0-4,4189,4023,3742,3378,2974,2658,2521,2553,2716,2933,3126,3274,3348,3363,3511
WC - Central Karoo District Municipality (DC5),Male,5-9,3912,3961,4066,4179,4219,4143,3944,3632,3280,3003,2831,2756,2787,2889,2819
WC - Central Karoo District Municipality (DC5),Male,10-14,3948,3931,3903,3893,3932,4008,4116,4226,4271,4192,4017,3761,3458,3184,3004
WC - Central Karoo District Municipality (DC5),Male,15-19,3079,3310,3557,3808,3903,3936,3915,3876,3859,3883,3921,4017,4126,4176,4243
WC - Central Karoo District Municipality (DC5),Male,20-24,2202,2300,2416,2538,2777,3024,3268,3499,3708,3758,3773,3749,3714,3705,3705
WC - Central Karoo District Municipality (DC5),Male,25-29,2016,1996,2006,2045,2112,2205,2309,2416,2518,2722,2931,3145,3357,3558,3812
WC - Central Karoo District Municipality (DC5),Male,30-34,2278,2201,2118,2049,2009,1998,2002,2021,2056,2105,2172,2255,2349,2445,2531
WC - Central Karoo District Municipality (DC5),Male,35-39,2143,2172,2201,2213,2207,2185,2138,2078,2020,1978,1955,1951,1965,1997,1993
WC - Central Karoo District Municipality (DC5),Male,40-44,1920,1919,1925,1941,1973,2018,2068,2113,2133,2124,2095,2048,1995,1949,1915
WC - Central Karoo District Municipality (DC5),Male,45-49,1665,1678,1697,1721,1750,1775,1795,1814,1839,1867,1899,1940,1983,2013,2050
WC - Central Karoo District Municipality (DC5),Male,50-54,1427,1433,1437,1445,1462,1495,1527,1557,1579,1596,1618,1637,1658,1684,1705
