Name ,Sex,Age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
John Taolo Gaetsewe District Municipality  (DC45),Female,75-79,842,804,802,848,942,1052,1154,1232,1278,1290,1292,1300,1321,1360,1377
John Taolo Gaetsewe District Municipality  (DC45),Female,80+,825,850,877,906,936,960,984,1011,1040,1072,1141,1211,1283,1357,1431
EC - Sarah Baartman District Municipality (DC10),Male,0-4,19408,19951,20682,21567,22547,23426,23946,24162,24175,24112,24144,24386,24708,25139,25337
EC - Sarah Baartman District Municipality (DC10),Male,5-9,19737,19564,19426,19348,19338,19528,20019,20785,21716,22617,23347,23857,24201,24453,25042
EC - Sarah Baartman District Municipality (DC10),Male,10-14,21094,21023,20878,20678,20412,20098,19802,19553,19439,19540,19915,20526,21336,22207,22808
EC - Sarah Baartman District Municipality (DC10),Male,15-19,18446,19565,20553,21450,21471,21477,21368,21157,20867,20545,20338,20093,19861,19742,19525
EC - Sarah Baartman District Municipality (DC10),Male,20-24,14782,15521,16307,16985,18246,19371,20394,21338,22257,22357,22424,22350,22176,21928,21863
EC - Sarah Baartman District Municipality (DC10),Male,25-29,13921,14081,14322,14691,15208,15800,16535,17318,17998,19321,20535,21648,22698,23722,25070
EC - Sarah Baartman District Municipality (DC10),Male,30-34,13807,13892,13930,13978,14103,14285,14527,14844,15270,15831,16519,17319,18143,18844,19654
EC - Sarah Baartman District Municipality (DC10),Male,35-39,12203,12525,12840,13105,13335,13510,13664,13816,13990,14209,14453,14733,15094,15562,15898
EC - Sarah Baartman District Municipality (DC10),Male,40-44,10487,10586,10721,10901,11152,11467,11860,12283,12667,12985,13216,13400,13578,13782,14017
EC - Sarah Baartman District Municipality (DC10),Male,45-49,9476,9492,9469,9454,9503,9617,9782,10001,10268,10579,10926,11322,11733,12102,12507
EC - Sarah Baartman District Municipality (DC10),Male,50-54,7835,7993,8162,8303,8411,8494,8553,8610,8696,8822,8953,9111,9312,9559,9741
EC - Sarah Baartman District Municipality (DC10),Male,55-59,6764,6740,6728,6746,6809,6924,7086,7269,7433,7562,7639,7693,7747,7825,7906
EC - Sarah Baartman District Municipality (DC10),Male,60-64,5934,5936,5904,5863,5834,5813,5795,5796,5830,5902,5971,6075,6199,6313,6415
EC - Sarah Baartman District Municipality (DC10),Male,65-69,4192,4358,4523,4659,4751,4796,4800,4788,4779,4774,4739,4689,4642,4616,4584
EC - Sarah Baartman District Municipality (DC10),Male,70-74,2539,2602,2677,2777,2901,3063,3242,3397,3506,3568,3595,3604,3594,3565,3577
EC - Sarah Baartman District Municipality (DC10),Male,75-79,1423,1488,1534,1558,1563,1552,1558,1610,1718,1886,1999,2115,2224,2320,2464
EC - Sarah Baartman District Municipality (DC10),Male,80+,962,989,1018,1050,1084,1077,1073,1070,1068,1067,1054,1043,1034,1027,1019
EC - Sarah Baartman District Municipality (DC10),Female,0-4,19504,19985,20617,21374,22210,22930,23369,23568,23618,23619,23680,23915,24192,24560,24753
EC - Sarah Baartman District Municipality (DC10),Female,5-9,19456,19362,19327,19339,19386,19587,20020,20667,21446,22211,22848,23305,23615,23854,24368
EC - Sarah Baartman District Municipality (DC10),Female,10-14,20469,20434,20350,20235,20059,19830,19623,19480,19444,19575,19918,20459,21154,21904,22433
EC - Sarah Baartman District Municipality (DC10),Female,15-19,19599,20133,20558,20945,20925,20860,20756,20592,20401,20204,20042,19861,19722,19689,19550
EC - Sarah Baartman District Municipality (DC10),Female,20-24,16761,17392,18099,18719,19522,20093,20528,20889,21264,21302,21292,21219,21087,20942,20878
EC - Sarah Baartman District Municipality (DC10),Female,25-29,15632,15651,15731,15935,16310,16844,17523,18231,18811,19589,20280,20823,21265,21672,22295
EC - Sarah Baartman District Municipality (DC10),Female,30-34,15531,15445,15296,15151,15085,15097,15179,15359,15667,16115,16705,17426,18191,18834,19540
EC - Sarah Baartman District Municipality (DC10),Female,35-39,13897,14166,14395,14527,14591,14597,14565,14521,14494,14513,14576,14702,14943,15305,15474
EC - Sarah Baartman District Municipality (DC10),Female,40-44,12289,12314,12368,12474,12651,12873,13164,13468,13711,13863,13903,13884,13870,13887,13922
EC - Sarah Baartman District Municipality (DC10),Female,45-49,10977,11056,11101,11129,11183,11257,11350,11481,11661,11886,12163,12480,12801,13047,13344
EC - Sarah Baartman District Municipality (DC10),Female,50-54,9282,9399,9521,9633,9745,9888,10030,10167,10299,10428,10555,10680,10837,11038,11192
EC - Sarah Baartman District Municipality (DC10),Female,55-59,8106,8117,8135,8173,8240,8357,8508,8679,8854,9022,9191,9354,9513,9668,9840
EC - Sarah Baartman District Municipality (DC10),Female,60-64,6955,7030,7077,7111,7144,7196,7248,7311,7396,7507,7623,7767,7934,8113,8264
EC - Sarah Baartman District Municipality (DC10),Female,65-69,5101,5308,5501,5669,5804,5940,6049,6141,6228,6309,6361,6402,6448,6515,6574
EC - Sarah Baartman District Municipality (DC10),Female,70-74,3207,3359,3520,3686,3853,4067,4295,4507,4689,4840,4960,5061,5143,5209,5320
EC - Sarah Baartman District Municipality (DC10),Female,75-79,2328,2280,2249,2242,2266,2338,2427,2547,2708,2912,3085,3258,3426,3582,3788
EC - Sarah Baartman District Municipality (DC10),Female,80+,2467,2529,2593,2660,2727,2725,2730,2741,2758,2782,2842,2906,2975,3051,3113
EC - Amathole District Municipality (DC12),Male,0-4,49852,47767,46424,45682,45262,45904,46943,48244,49713,51234,53293,54811,55478,55574,56831
EC - Amathole District Municipality (DC12),Male,5-9,64180,61371,58287,55112,52085,49327,47172,45688,44855,44548,44595,45426,47109,49285,50232
EC - Amathole District Municipality (DC12),Male,10-14,70285,69763,68961,67754,66022,63351,60420,57182,53931,51020,48453,46507,45066,44241,42527
EC - Amathole District Municipality (DC12),Male,15-19,56265,59309,62596,66261,67513,66764,65754,64807,63858,62658,59890,56823,53881,51401,49222
EC - Amathole District Municipality (DC12),Male,20-24,33403,36098,38588,40645,44261,48219,51757,54715,57195,57428,58057,58295,58041,57159,57154
EC - Amathole District Municipality (DC12),Male,25-29,20675,21641,22832,24313,26083,28460,30923,33328,35450,38732,42303,45649,48754,51651,55693
EC - Amathole District Municipality (DC12),Male,30-34,16514,16419,16451,16675,17141,18044,19148,20473,22032,23819,25910,28218,30638,32934,35692
EC - Amathole District Municipality (DC12),Male,35-39,15317,14921,14598,14322,14134,14187,14330,14599,15031,15657,16477,17505,18782,20326,21592
EC - Amathole District Municipality (DC12),Male,40-44,15580,14900,14206,13574,13077,12850,12730,12679,12656,12666,12731,12885,13167,13620,13822
EC - Amathole District Municipality (DC12),Male,45-49,14518,14272,13991,13647,13258,12922,12533,12150,11821,11569,11346,11229,11211,11257,11148
EC - Amathole District Municipality (DC12),Male,50-54,12610,12405,12194,11979,11788,11742,11707,11651,11530,11329,11031,10701,10382,10116,9855
EC - Amathole District Municipality (DC12),Male,55-59,11382,11033,10766,10534,10319,10191,10080,9985,9901,9829,9707,9627,9563,9473,9389
EC - Amathole District Municipality (DC12),Male,60-64,11798,11168,10490,9890,9433,9072,8793,8581,8409,8259,8022,7824,7670,7562,7403
EC - Amathole District Municipality (DC12),Male,65-69,9344,9358,9368,9284,9074,8738,8262,7759,7322,6974,6597,6277,5998,5749,5478
EC - Amathole District Municipality (DC12),Male,70-74,6312,6152,6017,5947,5941,6082,6247,6315,6222,5982,5596,5175,4768,4401,4107
EC - Amathole District Municipality (DC12),Male,75-79,3595,3649,3638,3541,3351,3104,2908,2831,2902,3117,3172,3212,3188,3069,3106
EC - Amathole District Municipality (DC12),Male,80+,2359,2287,2225,2171,2125,1993,1864,1736,1609,1485,1419,1360,1306,1257,1197
EC - Amathole District Municipality (DC12),Female,0-4,48565,46553,45342,44771,44543,45235,46267,47484,48810,50160,52144,53618,54277,54428,55632
EC - Amathole District Municipality (DC12),Female,5-9,63054,60155,57105,54001,51073,48350,46266,44880,44139,43882,43975,44824,46462,48588,49539
EC - Amathole District Municipality (DC12),Female,10-14,69522,68906,67979,66732,65016,62183,59085,55829,52643,49847,47398,45560,44228,43527,41907
EC - Amathole District Municipality (DC12),Female,15-19,58711,60709,62845,65221,66369,65738,64783,63686,62497,61036,58281,55232,52343,49905,47712
EC - Amathole District Municipality (DC12),Female,20-24,37788,40290,42822,45061,47911,50808,53216,55065,56475,56663,57164,57254,56779,55757,55617
EC - Amathole District Municipality (DC12),Female,25-29,26661,26819,27236,28075,29413,31618,34079,36544,38683,41125,43856,46290,48419,50280,52990
EC - Amathole District Municipality (DC12),Female,30-34,24415,23606,22849,22260,21933,22131,22539,23240,24309,25737,27618,29879,32378,34782,37366
EC - Amathole District Municipality (DC12),Female,35-39,23536,22933,22312,21601,20857,20348,19852,19420,19114,18997,19164,19545,20235,21291,21759
EC - Amathole District Municipality (DC12),Female,40-44,23984,23068,22109,21228,20501,20027,19651,19301,18885,18381,17893,17422,17057,16845,16465
EC - Amathole District Municipality (DC12),Female,45-49,21783,21772,21680,21437,21066,20673,20121,19500,18901,18368,17947,17635,17389,17102,16764
EC - Amathole District Municipality (DC12),Female,50-54,18295,18247,18223,18230,18298,18553,18824,19035,19092,18946,18599,18125,17630,17193,16837
EC - Amathole District Municipality (DC12),Female,55-59,16352,15964,15780,15675,15592,15662,15785,15949,16142,16358,16567,16822,17064,17203,17424
EC - Amathole District Municipality (DC12),Female,60-64,19035,17941,16667,15549,14766,14240,13947,13828,13792,13790,13768,13823,13960,14172,14249
EC - Amathole District Municipality (DC12),Female,65-69,14891,15557,16202,16548,16492,16039,15177,14196,13364,12759,12282,11988,11810,11705,11400
EC - Amathole District Municipality (DC12),Female,70-74,10497,10314,10265,10471,10918,11752,12700,13385,13599,13365,12757,12007,11299,10750,10258
EC - Amathole District Municipality (DC12),Female,75-79,7241,7599,7746,7625,7234,6699,6341,6377,6903,7922,8724,9443,9924,10073,10874
EC - Amathole District Municipality (DC12),Female,80+,6341,6315,6306,6315,6340,6436,6541,6658,6788,6933,6879,6847,6837,6853,6867
EC - Chris Hani District Municipality (DC13),Male,0-4,42272,43662,46395,50126,54326,57958,59513,59204,57536,55309,53813,53278,53474,54362,53760
EC - Chris Hani District Municipality (DC13),Male,5-9,50823,48598,46115,43771,42079,41672,43039,46068,49976,53424,55574,56576,56550,55925,57220
EC - Chris Hani District Municipality (DC13),Male,10-14,57400,56875,55864,54328,52217,49589,46935,44261,42243,41678,42474,44694,47773,50779,52706
EC - Chris Hani District Municipality (DC13),Male,15-19,45779,48630,51471,54375,55001,53877,52706,51764,50953,50011,47442,44409,41740,40300,38459
EC - Chris Hani District Municipality (DC13),Male,20-24,25140,27882,30356,32267,35191,38516,41548,44084,46158,46349,46823,46763,46079,44698,44417
EC - Chris Hani District Municipality (DC13),Male,25-29,15992,16590,17329,18369,19724,21667,23859,26130,28206,31164,34320,37129,39530,41519,44865
EC - Chris Hani District Municipality (DC13),Male,30-34,13478,13549,13649,13808,14058,14539,15169,16029,17208,18729,20575,22653,24817,26777,29254
EC - Chris Hani District Municipality (DC13),Male,35-39,12195,12115,12056,11980,11916,11987,12159,12432,12805,13296,13893,14566,15394,16464,17313
EC - Chris Hani District Municipality (DC13),Male,40-44,12349,11905,11420,10979,10654,10526,10549,10671,10829,11001,11190,11408,11682,12026,12281
EC - Chris Hani District Municipality (DC13),Male,45-49,11685,11575,11391,11120,10794,10488,10178,9906,9717,9628,9615,9680,9804,9941,9987
EC - Chris Hani District Municipality (DC13),Male,50-54,10205,10168,10076,9941,9796,9728,9691,9656,9584,9461,9287,9062,8833,8650,8475
EC - Chris Hani District Municipality (DC13),Male,55-59,8851,8760,8707,8645,8555,8487,8447,8429,8427,8434,8412,8383,8336,8249,8214
EC - Chris Hani District Municipality (DC13),Male,60-64,8928,8560,8119,7723,7437,7218,7099,7054,7043,7041,7011,6968,6921,6871,6838
EC - Chris Hani District Municipality (DC13),Male,65-69,6830,6987,7111,7125,7010,6776,6448,6110,5838,5653,5531,5447,5378,5305,5204
EC - Chris Hani District Municipality (DC13),Male,70-74,4584,4536,4498,4508,4564,4711,4891,5005,4993,4863,4674,4433,4197,4000,3827
EC - Chris Hani District Municipality (DC13),Male,75-79,2666,2810,2882,2867,2764,2575,2438,2408,2506,2731,2916,3074,3157,3136,3282
EC - Chris Hani District Municipality (DC13),Male,80+,1904,1929,1955,1983,2013,1977,1949,1927,1910,1897,1787,1678,1571,1468,1393
EC - Chris Hani District Municipality (DC13),Female,0-4,40817,42099,44900,48833,53283,57028,58629,58265,56460,54058,52478,51920,52146,53140,52513
EC - Chris Hani District Municipality (DC13),Female,5-9,50216,47980,45451,43006,41263,40832,42216,45293,49244,52689,54763,55720,55630,54979,56226
EC - Chris Hani District Municipality (DC13),Female,10-14,55676,55356,54651,53503,51722,49084,46281,43514,41477,40966,41706,43892,46987,50073,52020
EC - Chris Hani District Municipality (DC13),Female,15-19,46860,48710,50446,52197,52812,52125,51400,50715,49975,48958,46501,43498,40796,39270,37428
EC - Chris Hani District Municipality (DC13),Female,20-24,28533,31080,33550,35556,37783,40156,42153,43702,44911,45185,45715,45812,45288,44107,43952
EC - Chris Hani District Municipality (DC13),Female,25-29,20872,20906,21068,21612,22628,24415,26592,28896,30963,33219,35633,37630,39206,40417,42634
EC - Chris Hani District Municipality (DC13),Female,30-34,19358,19043,18705,18377,18118,18110,18244,18645,19462,20724,22416,24489,26762,28855,31222
EC - Chris Hani District Municipality (DC13),Female,35-39,18460,18175,17850,17439,16995,16684,16465,16333,16274,16305,16453,16665,17083,17837,18169
EC - Chris Hani District Municipality (DC13),Female,40-44,18828,18225,17524,16856,16308,15961,15752,15617,15473,15295,15133,14975,14868,14810,14680
EC - Chris Hani District Municipality (DC13),Female,45-49,16957,17113,17159,17019,16709,16373,15953,15515,15132,14836,14651,14532,14449,14322,14166
EC - Chris Hani District Municipality (DC13),Female,50-54,14693,14689,14626,14570,14572,14704,14926,15159,15300,15287,15102,14773,14401,14069,13836
EC - Chris Hani District Municipality (DC13),Female,55-59,12593,12564,12674,12769,12781,12815,12858,12925,13048,13243,13483,13751,13988,14111,14334
EC - Chris Hani District Municipality (DC13),Female,60-64,14555,13791,12824,11970,11406,11088,11036,11164,11338,11476,11578,11646,11716,11828,11928
EC - Chris Hani District Municipality (DC13),Female,65-69,11141,11859,12508,12857,12824,12466,11785,11022,10411,10031,9858,9865,9951,10030,9957
EC - Chris Hani District Municipality (DC13),Female,70-74,7503,7534,7652,7948,8400,9125,9979,10637,10911,10805,10387,9778,9203,8801,8432
EC - Chris Hani District Municipality (DC13),Female,75-79,5163,5488,5647,5610,5386,4973,4733,4849,5403,6398,7366,8218,8779,8946,9910
EC - Chris Hani District Municipality (DC13),Female,80+,5145,5190,5231,5272,5311,5390,5492,5616,5762,5927,6179,6435,6698,6976,7247
EC - Joe Gqabi District Municipality  (DC14),Male,0-4,18727,18776,19190,19888,20733,21707,22411,22862,23134,23340,23723,24160,24528,24889,25256
EC - Joe Gqabi District Municipality  (DC14),Male,5-9,22207,21425,20564,19721,19013,18605,18618,19049,19769,20538,21163,21757,22362,22973,23674
EC - Joe Gqabi District Municipality  (DC14),Male,10-14,24424,24302,24019,23555,22890,22049,21169,20241,19431,18932,18755,18950,19402,19984,20101
EC - Joe Gqabi District Municipality  (DC14),Male,15-19,19902,21096,22328,23616,23958,23686,23341,23024,22723,22369,21461,20466,19582,19002,18335
EC - Joe Gqabi District Municipality  (DC14),Male,20-24,12571,13542,14424,15154,16461,17831,19103,20230,21232,21410,21551,21520,21314,20917,20855
EC - Joe Gqabi District Municipality  (DC14),Male,25-29,7892,8418,9017,9674,10380,11257,12147,13006,13772,15033,16369,17611,18734,19737,21211
EC - Joe Gqabi District Municipality  (DC14),Male,30-34,6394,6411,6460,6597,6852,7264,7791,8419,9123,9885,10705,11567,12440,13245,14271
EC - Joe Gqabi District Municipality  (DC14),Male,35-39,5523,5528,5559,5589,5624,5689,5774,5913,6144,6486,6904,7416,8025,8713,9344
EC - Joe Gqabi District Municipality  (DC14),Male,40-44,5165,5003,4840,4702,4617,4645,4730,4841,4949,5053,5191,5331,5497,5728,5898
EC - Joe Gqabi District Municipality  (DC14),Male,45-49,4867,4761,4637,4499,4360,4258,4164,4099,4073,4086,4132,4230,4372,4529,4626
EC - Joe Gqabi District Municipality  (DC14),Male,50-54,4304,4251,4184,4097,4001,3943,3888,3829,3764,3697,3629,3568,3527,3518,3471
EC - Joe Gqabi District Municipality  (DC14),Male,55-59,3915,3817,3726,3645,3574,3511,3459,3416,3376,3336,3274,3213,3154,3099,3046
EC - Joe Gqabi District Municipality  (DC14),Male,60-64,3530,3430,3340,3249,3156,3059,2972,2900,2845,2802,2746,2694,2648,2604,2558
EC - Joe Gqabi District Municipality  (DC14),Male,65-69,3351,3192,3008,2845,2713,2611,2518,2424,2326,2231,2154,2085,2023,1963,1898
EC - Joe Gqabi District Municipality  (DC14),Male,70-74,2013,2193,2321,2359,2313,2216,2110,2009,1918,1833,1743,1638,1534,1437,1357
EC - Joe Gqabi District Municipality  (DC14),Male,75-79,845,758,740,809,971,1058,1140,1206,1246,1250,1239,1224,1192,1133,1112
EC - Joe Gqabi District Municipality  (DC14),Male,80+,685,655,627,600,574,526,479,433,388,344,418,493,569,648,722
EC - Joe Gqabi District Municipality  (DC14),Female,0-4,18876,18909,19258,19848,20560,21457,22106,22512,22751,22935,23311,23741,24096,24451,24806
EC - Joe Gqabi District Municipality  (DC14),Female,5-9,22221,21415,20597,19808,19123,18721,18710,19090,19739,20436,21001,21539,22076,22623,23249
EC - Joe Gqabi District Municipality  (DC14),Female,10-14,24772,24621,24255,23732,23045,22190,21297,20410,19647,19175,18974,19108,19478,19978,20048
EC - Joe Gqabi District Municipality  (DC14),Female,15-19,20766,21840,22903,23916,24316,24195,23912,23539,23141,22698,21809,20834,19962,19347,18667
EC - Joe Gqabi District Municipality  (DC14),Female,20-24,13932,14937,15952,16893,18083,19268,20372,21346,22177,22495,22674,22614,22302,21811,21740
EC - Joe Gqabi District Municipality  (DC14),Female,25-29,9714,10041,10470,11023,11714,12589,13561,14575,15541,16732,17944,19068,20072,20920,22203
EC - Joe Gqabi District Municipality  (DC14),Female,30-34,8489,8369,8255,8207,8278,8523,8882,9358,9959,10692,11583,12586,13651,14666,15847
EC - Joe Gqabi District Municipality  (DC14),Female,35-39,7787,7697,7619,7522,7414,7309,7217,7180,7234,7397,7660,8016,8501,9119,9552
EC - Joe Gqabi District Municipality  (DC14),Female,40-44,7637,7378,7106,6860,6671,6588,6555,6538,6500,6440,6430,6415,6431,6506,6507
EC - Joe Gqabi District Municipality  (DC14),Female,45-49,7117,7064,6975,6837,6662,6503,6324,6152,6008,5901,5871,5886,5928,5954,5944
EC - Joe Gqabi District Municipality  (DC14),Female,50-54,6316,6271,6211,6145,6087,6065,6055,6041,6001,5925,5827,5706,5595,5514,5421
EC - Joe Gqabi District Municipality  (DC14),Female,55-59,5547,5507,5484,5462,5433,5413,5391,5372,5360,5360,5375,5399,5419,5418,5430
EC - Joe Gqabi District Municipality  (DC14),Female,60-64,5266,5127,5001,4886,4788,4721,4689,4685,4692,4695,4695,4690,4688,4696,4697
EC - Joe Gqabi District Municipality  (DC14),Female,65-69,5348,5207,5011,4818,4646,4499,4365,4239,4127,4040,3995,3981,3981,3980,3952
EC - Joe Gqabi District Municipality  (DC14),Female,70-74,3598,3954,4244,4403,4427,4348,4233,4109,3990,3880,3748,3603,3476,3384,3274
EC - Joe Gqabi District Municipality  (DC14),Female,75-79,1930,1835,1863,2047,2391,2656,2910,3123,3271,3336,3323,3301,3251,3162,3141
EC - Joe Gqabi District Municipality  (DC14),Female,80+,2115,2142,2170,2201,2233,2255,2283,2318,2360,2409,2547,2688,2834,2988,3133
EC - O.R.Tambo District Municipality (DC15),Male,0-4,86231,84226,83863,84867,86608,89039,91456,93760,95983,98168,101388,104280,106232,107618,110112
EC - O.R.Tambo District Municipality (DC15),Male,5-9,102308,99654,95951,91757,87894,85006,83254,82719,83226,84322,85520,87484,90381,93841,96126
EC - O.R.Tambo District Municipality (DC15),Male,10-14,99736,101348,102575,103000,102158,99769,96583,92703,88856,85752,83222,81796,81236,81505,80118
EC - O.R.Tambo District Municipality (DC15),Male,15-19,72757,78164,84019,90400,93502,94565,95522,96548,97246,97163,94192,90477,86811,83930,81503
EC - O.R.Tambo District Municipality (DC15),Male,20-24,43602,46785,49783,52543,57672,63477,69087,74297,79222,81297,83566,85391,86502,86526,88070
EC - O.R.Tambo District Municipality (DC15),Male,25-29,26748,28411,30296,32392,34680,37654,40647,43623,46491,51251,56547,61724,66716,71536,77980
EC - O.R.Tambo District Municipality (DC15),Male,30-34,20138,20328,20650,21205,22055,23459,25185,27204,29451,31883,34594,37465,40482,43487,47013
EC - O.R.Tambo District Municipality (DC15),Male,35-39,17421,17232,17116,17042,17055,17297,17658,18196,18973,20033,21380,23033,24993,27211,29248
EC - O.R.Tambo District Municipality (DC15),Male,40-44,16660,16118,15521,14981,14592,14481,14498,14605,14753,14949,15265,15675,16244,17042,17542
EC - O.R.Tambo District Municipality (DC15),Male,45-49,14277,14296,14268,14118,13856,13630,13326,13007,12742,12566,12512,12571,12730,12951,12995
EC - O.R.Tambo District Municipality (DC15),Male,50-54,12114,11951,11749,11571,11465,11504,11601,11703,11729,11641,11486,11265,11040,10870,10706
EC - O.R.Tambo District Municipality (DC15),Male,55-59,10094,9986,9962,9924,9825,9736,9610,9477,9383,9350,9388,9486,9599,9660,9717
EC - O.R.Tambo District Municipality (DC15),Male,60-64,10629,10001,9325,8741,8326,8044,7897,7837,7783,7691,7577,7447,7333,7272,7174
EC - O.R.Tambo District Municipality (DC15),Male,65-69,9335,9296,9211,9023,8712,8259,7674,7068,6550,6162,5918,5782,5688,5583,5408
EC - O.R.Tambo District Municipality (DC15),Male,70-74,6463,6563,6647,6717,6768,6799,6841,6791,6585,6234,5775,5258,4785,4415,4077
EC - O.R.Tambo District Municipality (DC15),Male,75-79,2864,3088,3305,3515,3715,3645,3622,3700,3891,4181,4365,4510,4536,4392,4503
EC - O.R.Tambo District Municipality (DC15),Male,80+,1689,1666,1647,1633,1624,1655,1688,1723,1760,1799,1878,1961,2051,2150,2238
EC - O.R.Tambo District Municipality (DC15),Female,0-4,87637,85124,84001,84039,84721,86359,88404,90669,93088,95544,99019,101927,103658,104704,107200
EC - O.R.Tambo District Municipality (DC15),Female,5-9,104208,101291,97712,93740,89948,86764,84407,82980,82442,82593,83174,84822,87620,91162,93023
EC - O.R.Tambo District Municipality (DC15),Female,10-14,103863,105058,105798,105913,104977,102355,98976,95128,91249,87845,84670,82395,80896,80372,78363
EC - O.R.Tambo District Municipality (DC15),Female,15-19,81610,85675,90115,94920,97930,99056,99823,100269,100278,99553,96397,92640,88984,85918,83309
EC - O.R.Tambo District Municipality (DC15),Female,20-24,55360,58153,61092,64019,68270,72816,77090,80970,84531,86435,88236,89526,90017,89643,90707
EC - O.R.Tambo District Municipality (DC15),Female,25-29,40401,41064,41934,43169,44894,47616,50544,53512,56316,60020,64223,68246,72020,75524,80092
EC - O.R.Tambo District Municipality (DC15),Female,30-34,34374,34040,33718,33523,33574,34230,35115,36299,37832,39705,42114,44881,47938,51010,54153
EC - O.R.Tambo District Municipality (DC15),Female,35-39,30361,30166,29944,29607,29233,29106,28996,28954,29026,29265,29836,30679,31909,33530,34515
EC - O.R.Tambo District Municipality (DC15),Female,40-44,28822,28173,27411,26731,26257,26106,26071,26056,25948,25731,25582,25459,25461,25624,25561
EC - O.R.Tambo District Municipality (DC15),Female,45-49,23896,24402,24890,25163,25181,25074,24729,24287,23886,23585,23448,23436,23507,23537,23468
EC - O.R.Tambo District Municipality (DC15),Female,50-54,20254,20154,19987,19933,20121,20627,21290,21957,22428,22597,22568,22344,22065,21850,21737
EC - O.R.Tambo District Municipality (DC15),Female,55-59,16574,16652,17033,17397,17578,17720,17732,17707,17793,18062,18532,19177,19877,20448,21026
EC - O.R.Tambo District Municipality (DC15),Female,60-64,20510,19136,17494,16098,15242,14839,14896,15232,15566,15737,15800,15790,15809,15982,16067
EC - O.R.Tambo District Municipality (DC15),Female,65-69,16615,17597,18523,19027,18958,18271,16980,15520,14330,13568,13209,13259,13493,13706,13589
EC - O.R.Tambo District Municipality (DC15),Female,70-74,11561,11635,11862,12377,13153,14284,15579,16500,16744,16332,15372,14091,12926,12140,11386
EC - O.R.Tambo District Municipality (DC15),Female,75-79,6616,7443,8018,8284,8239,7685,7387,7647,8593,10217,11867,13301,14188,14334,15906
EC - O.R.Tambo District Municipality (DC15),Female,80+,5207,5285,5374,5476,5588,6006,6430,6862,7308,7770,8310,8869,9455,10078,10746
EC - Alfred Nzo District Municipality (DC44),Male,0-4,50484,49764,49957,50903,52266,53765,54723,55177,55288,55287,56685,59129,62133,65596,67890
EC - Alfred Nzo District Municipality (DC44),Male,5-9,58671,57062,55002,52771,50759,49468,49067,49551,50660,51880,52569,52999,53367,53883,54553
EC - Alfred Nzo District Municipality (DC44),Male,10-14,58611,59221,59545,59434,58718,57279,55607,53662,51867,50707,49893,49806,50187,50716,50492
EC - Alfred Nzo District Municipality (DC44),Male,15-19,42125,45270,48837,52773,54712,54960,55213,55723,56341,56757,55091,52911,50829,49380,48102
EC - Alfred Nzo District Municipality (DC44),Male,20-24,23921,25611,27144,28561,31375,34828,38294,41550,44574,45950,47508,48627,49187,49044,49995
EC - Alfred Nzo District Municipality (DC44),Male,25-29,14182,14930,15768,16708,17742,19279,20826,22406,24026,26721,29958,33131,36128,38884,42819
EC - Alfred Nzo District Municipality (DC44),Male,30-34,10724,10715,10792,10980,11284,11900,12687,13645,14749,15974,17421,18917,20488,22091,23951
EC - Alfred Nzo District Municipality (DC44),Male,35-39,9820,9566,9325,9106,8950,8978,9104,9340,9695,10179,10831,11617,12548,13601,14555
EC - Alfred Nzo District Municipality (DC44),Male,40-44,9557,9274,8940,8601,8303,8153,8050,7981,7942,7952,8063,8223,8454,8776,8953
EC - Alfred Nzo District Municipality (DC44),Male,45-49,8275,8291,8294,8233,8106,7993,7848,7697,7558,7441,7346,7268,7219,7201,7132
EC - Alfred Nzo District Municipality (DC44),Male,50-54,7337,7210,7063,6936,6865,6891,6973,7075,7144,7150,7098,6992,6863,6734,6655
EC - Alfred Nzo District Municipality (DC44),Male,55-59,6445,6394,6358,6311,6243,6175,6090,6008,5963,5972,6013,6086,6162,6201,6250
EC - Alfred Nzo District Municipality (DC44),Male,60-64,5972,5813,5657,5521,5416,5337,5300,5295,5294,5278,5218,5127,5034,4973,4912
EC - Alfred Nzo District Municipality (DC44),Male,65-69,5424,5321,5190,5054,4921,4793,4656,4521,4402,4314,4260,4228,4199,4153,4105
EC - Alfred Nzo District Municipality (DC44),Male,70-74,3771,3958,4103,4182,4194,4155,4098,4029,3946,3849,3731,3580,3431,3306,3191
EC - Alfred Nzo District Municipality (DC44),Male,75-79,1663,1772,1927,2137,2403,2564,2723,2875,3007,3104,3145,3172,3156,3081,3097
EC - Alfred Nzo District Municipality (DC44),Male,80+,1024,1081,1142,1206,1275,1444,1617,1795,1978,2169,2383,2596,2813,3036,3308
EC - Alfred Nzo District Municipality (DC44),Female,0-4,50374,49627,49717,50490,51630,52876,53679,54043,54113,54091,55461,57808,60647,63921,66098
EC - Alfred Nzo District Municipality (DC44),Female,5-9,58816,57253,55365,53314,51423,50093,49547,49788,50592,51526,52071,52424,52729,53210,53750
EC - Alfred Nzo District Municipality (DC44),Female,10-14,59404,60034,60336,60255,59598,58115,56346,54426,52671,51479,50613,50353,50522,50881,50533
EC - Alfred Nzo District Municipality (DC44),Female,15-19,46394,48921,51623,54491,56248,56792,57194,57546,57815,57809,56390,54431,52459,50906,49632
